title,author,synopsis,goodreads,genre,language,amazon
"The Crows of Agra","Sharath Komarraju","The first novel in the Birbal series, set in 1562 A.D. when Akbar is just twenty. After his regent Bairam Khan is found murdered, Akbar must uncover the killer with the help of Mahesh Das, a clever Brahmin who later becomes the legendary Birbal. A historical whodunit populated by figures of the Mughal court, it casts Birbal as a sharp-witted detective solving a palace murder.","https://www.goodreads.com/book/show/27216883-the-crows-of-agra","Mystery, Historical Fiction, Fiction","English",""
"The Seal of Surya: The Legend of Ikshvaku","Amritanshu Pandey","The first book of The Scrolls of Aryavarta series tells the story of Ikshvaku, the boy king and first Manava, founder of the first unified kingdom in the Indian subcontinent. Set after the age of Devas and Asuras, the solar tribes are left without a ruler and the Seal of Aurvan Surya is lost. Ikshvaku saves the solar tribes, becomes king of Aryavarta, and embarks on a lifelong war and search for the lost seal across rugged terrain. A tale of betrayal, loyalty, dynasties and destruction.","https://www.goodreads.com/book/show/25846786-the-seal-of-surya","Mythology, Historical Fiction, Fantasy","English",""
"The Murder of Roger Ackroyd","Agatha Christie","The fourth Hercule Poirot novel, published in 1926. When wealthy Roger Ackroyd is found stabbed in his study, the recently retired Poirot is drawn out of his quiet village life to investigate. With a confounding murder, a small list of suspects, and clues and red herrings throughout, the story builds to one of the most famous and startling twist endings in detective fiction.","https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd","Mystery, Fiction, Crime","English","https://www.amazon.in/dp/0007527527"
"Chariots of the Gods","Erich von Däniken","First published in 1968, this world-famous bestseller introduced the theory that ancient Earth was visited by extraterrestrials welcomed as gods, who gave early civilizations their technologies and religions. Von Daniken bases his startling claims on studies of ancient ruins, lost cities, potential spaceports, and other evidence he argues points to extraterrestrial intervention in human history. The book inspired countless books and films and remains a landmark of the ancient-astronaut genre.","https://www.goodreads.com/book/show/91202.Chariots_of_the_Gods","Nonfiction, Science, History","English",""
"Three mistakes of my life","Chetan Bhagat","Chetan Bhagat's third novel, set in Ahmedabad, follows three friends: Govind, who dreams of business success; Ish, devoted to nurturing a gifted young cricketer named Ali; and Omi, who just wants to stay with his friends. Together they open a cricket shop, but nothing comes easy in a turbulent city. To reach their goals they must face religious politics, an earthquake, riots, forbidden love, and above all their own mistakes.","https://www.goodreads.com/book/show/3320520-the-3-mistakes-of-my-life","Fiction, Novels, Contemporary","English","https://www.amazon.in/dp/8129135515"
"autobiography of a yogi","Paramahansa Yogananda","A modern spiritual classic first published in 1946, this is at once a beautifully written account of an exceptional life and a profound introduction to the ancient science of Yoga and meditation. Yogananda recounts his remarkable childhood, his search across India for an illumined teacher, years of training under a revered master, and the decades he spent teaching in America. It records his meetings with figures such as Mahatma Gandhi, Rabindranath Tagore, and Luther Burbank.","https://www.goodreads.com/book/show/639864.Autobiography_of_a_Yogi","Spirituality, Nonfiction, Biography","English","https://www.amazon.in/dp/8120818946"
"The collected works of Khalil Ghibran","Khalil Gibran","An omnibus gathering the major works of the beloved Lebanese poet, artist and mystic Kahlil Gibran into one comprehensive volume. Included are The Prophet, The Wanderer, Jesus the Son of Man, A Tear and a Smile, Spirits Rebellious, Nymphs of the Valley, prose poems and other works. Gibran's essays, stories, parables and prose poems are imbued with a powerful simplicity and wisdom, addressing marriage, children, friendship, grief, work and pleasure.","https://www.goodreads.com/book/show/41587482-collected-works-of-kahlil-gibran","Poetry, Philosophy, Classics","English",""
"Rumi's Little book of Life","Rumi / Translated by Kabir Helminski","A collection of 196 poems by Rumi, previously unavailable in English, translated by native Persian speakers Maryam Mafi and Azima Melita Kolin. This mystical poetry focuses on the inner life and serves as a guidebook for the inner journey. Through an ascending hierarchy it restores the soul to the heart, the heart to the spirit, and in finding spirit transcends the everyday world of dust.","https://www.goodreads.com/book/show/14343182-rumi-s-little-book-of-life","Poetry, Spirituality, Religion","English",""
"The Diary of a Young Girl - Anne Frank","Anne Frank","The world-famous diary of Anne Frank, documenting her life in hiding from 1942 to 1944. Given a journal on her thirteenth birthday, Anne filled it with her thoughts, fears, feelings, and day-to-day life while hiding with her family from the Nazis in 1940s Amsterdam. First published in 1947 as Het Achterhuis and translated into over seventy languages, it is one of the world's best-known books.","https://www.goodreads.com/book/show/127441416-the-diary-of-a-young-girl","Classics, Nonfiction, History","English",""
"A Room of Ones Own - Virginia Woolf","Virginia Woolf","An extended essay by Virginia Woolf, first published in 1929 and based on lectures she delivered at two women's colleges at Cambridge. Using a fictional narrator to explore women as both writers and characters in fiction, it is a landmark feminist text arguing for a literal and figurative space for women writers within a literary tradition dominated by patriarchy. It is famous for its dictum that a woman must have money and a room of her own if she is to write fiction.","https://www.goodreads.com/book/show/18521.A_Room_of_One_s_Own","Nonfiction, Classics, Feminism","English",""
